,ksat,kmin,kdry,mysat,rsat,kmin_fls
0,20479119166.97193,30334566732.50262,19988920628.132736,16314064922.391943,2568.4179738995904,30924815572.96412
1,17886937196.97888,30334566732.50262,17341069850.576027,14283313523.386772,2536.2242628351396,30924815572.96412
2,10865787492.269676,30334566732.50262,10300076898.058414,8785453856.281128,2393.109236006368,30924815572.96412
3,12056736913.94637,30334566732.50262,11480008866.353329,9716760374.76651,2426.1601119308702,30924815572.96412
4,17708918919.961697,30334566732.50262,17157113651.452911,14141261324.600918,2533.7799912334117,30924815572.96412
5,25100190498.647152,30334566732.50262,24769589593.479588,19930460101.029606,2611.713413598074,30924815572.96412
6,11457928950.29978,30334566732.50262,10882369527.522112,9245266094.104126,2410.2688593023363,30924815572.96412
7,15706162041.232868,30334566732.50262,15127902807.901539,12570193876.356388,2502.7278570205003,30924815572.96412
8,19615539682.078175,30334566732.50262,19096366612.46533,15631182484.83627,2558.573696807275,30924815572.96412
9,21631562595.923508,30334566732.50262,21166078290.42746,17209906148.056553,2580.7528826340154,30924815572.96412
10,22302095737.219753,30334566732.50262,21857547934.145927,17734633853.334835,2587.3860797605566,30924815572.96412
11,23469438069.28912,30334566732.50262,23066442536.081696,18648883755.832985,2598.1566971764287,30924815572.96412
12,11672131592.174244,30334566732.50262,11088462656.75587,9407379261.890604,2416.2789804610993,30924815572.96412
13,21048598685.26763,30334566732.50262,20561955921.490547,16750040280.583492,2574.7527714313214,30924815572.96412
14,8165103370.435356,30334566732.50262,7629990265.445992,6661562482.839234,2294.9175902189504,30924815572.96412
15,12245537309.52898,30334566732.50262,11654829286.312506,9853388802.846449,2431.2571792162917,30924815572.96412
16,5474638934.636158,30334566732.50262,5008089280.671473,4556089110.677958,2141.6608054438248,30924815572.96412
17,14541286885.222075,30334566732.50262,13945714329.950937,11648752862.039661,2481.778296386841,30924815572.96412
18,23221442692.99227,30334566732.50262,22803437748.18872,18449895992.086765,2596.0071185660227,30924815572.96412
19,18982596717.17694,30334566732.50262,18438508626.115967,15126003367.251703,2550.9696009273753,30924815572.96412
20,15662257029.482735,30334566732.50262,15069580700.60387,12523794925.866108,2502.2214883488955,30924815572.96412
21,8543013424.339217,30334566732.50262,7993394473.709756,6951137174.166033,2311.4662207105102,30924815572.96412
22,18368952152.295742,30334566732.50262,17809672665.56604,14642512561.633549,2543.085660750497,30924815572.96412
23,10029570629.744322,30334566732.50262,9452484821.981953,8112067961.687567,2367.2271141096517,30924815572.96412
24,8484561116.255726,30334566732.50262,7933202554.92408,6902843504.272486,2309.1058206478556,30924815572.96412
25,12737100240.77898,30334566732.50262,12133290859.69698,10228798697.100506,2443.461740360371,30924815572.96412
26,18660178222.793068,30334566732.50262,18102389835.66352,14867292464.93446,2546.9570988695527,30924815572.96412
27,8494927826.626109,30334566732.50262,7940446779.439558,6908365933.655205,2309.6413509657273,30924815572.96412
28,7877527527.750687,30334566732.50262,7335403889.853609,6424846263.472029,2282.2926407337677,30924815572.96412
29,6837949408.027088,30334566732.50262,6320674908.919962,5611520577.540825,2229.2444913023014,30924815572.96412
